unitid,year,Institute_name,Institute_city,Institute_State,Student_Origin,Gender,Ethnicity,enrolled,admitted,applied,admissions_yield,admitted_major,admitted_Level_study,awards
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,3184,6866,43021,46,Engineering,Certification,2501
170886,2010,Chicago Institute of Technology,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,321,564,4351,57,Business Administration,Bachelor,174
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,1084,3191,14663,34,Engineering,Doctor,446
170886,2010,Chicago Institute of Technology,Chicago,Illinois,India,Male,Asian,255,646,3446,39,Computer Science/Information Technology,Associate,106
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,86,234,1172,37,Arts and Literature,Bachelor,53
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,105,238,1431,44,Computer Science/Information Technology,Bachelor,76
170886,2010,Chicago Institute of Technology,Chicago,Illinois,Canada,Male,Others,76,154,1044,49,Engineering,Certification,48
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,2913,5207,38208,56,Engineering,Certification,1940
170886,2010,Chicago Institute of Technology,Chicago,Illinois,Mexico,Female,Hispanic or Latino Americans,352,769,4623,46,Medical And Nursing,Doctor,206
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Female,African Americans,896,1801,11759,50,Business Administration,Master,594
170886,2010,Chicago Institute of Technology,Chicago,Illinois,Japan,Female,Asian,198,449,2604,44,Computer Science/Information Technology,Associate,80
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,96,265,1272,36,Engineering,Doctor,67
170886,2010,Chicago Institute of Technology,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,69,187,905,37,Engineering,Master,39
170886,2010,Chicago Institute of Technology,Chicago,Illinois,Canada,Female,Others,62,111,822,56,Arts and Literature,Master,37
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Male,White Americans,2971,5017,31805,59,Arts and Literature,Master,1340
170886,2011,Chicago Institute of Technology,Chicago,Illinois,Argentina,Male,Hispanic or Latino Americans,335,625,3591,54,Medical And Nursing,Bachelor,151
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Male,African Americans,976,2584,10460,38,Engineering,Bachelor,703
170886,2011,Chicago Institute of Technology,Chicago,Illinois,China,Male,Asian,170,319,1824,53,Computer Science/Information Technology,Master,76
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,95,211,1026,45,Engineering,Doctor,70
170886,2011,Chicago Institute of Technology,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,79,182,852,43,Arts and Literature,Master,43
170886,2011,Chicago Institute of Technology,Chicago,Illinois,UAE,Male,Others,89,153,960,58,Computer Science/Information Technology,Master,46
170886,2011,Chicago Institute of Technology,Chicago,Illinois,USA,Female,White Americans,3375,6806,45534,50,Computer Science/Information Technology,Bachelor,2547
